id,quote,source_url,platform,date,stars,reviewer,jtbd_signal,frustration,persona_hint,language,notes
1,"I order a lot of stuff online and most of it is from zalando. Never had any issues until couple of months ago when I returned some items in separate parcels.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,2024-06-13,1,Aleksandra,buy-and-return-flow,returns-friction,outfit-seeker-or-single-item,en,
2,"I used to be an avid Zalando fan, with multiple purchase per month. Lately orders started to go lost, and the customer service is just repeating textbook lines.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,2024-01-03,1,L,frequent-buyer-loyalty,fulfillment-degradation,inspiration-browser,en,
3,"I am very glad to be able to buy so pretty clothes at Zalando with so affordable prices. Most of all what I most love about Zalando is that is extremely RELIABLE always credit my account on time concerning my returns.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,2021-01-06,5,Suzana Hong Roque,affordability-and-reliability,none,bargain-hunter,en,
4,"Extremely poor customer service, the worst in over 10 years. Agent not only didn't offer any support or explanation of why an order on the way to the address got canceled and returned to sender, but almost burst into laughing at customer's frustration and didn't express any empathy or support.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2026-04 (1 month ago at fetch),,Anonymous,order-tracking,customer-service-failure,creator-follower-or-single-item,en,date relative; fetched 2026-05
5,"Zalando is the One of the worst liars and worst service, what you see online sales it says 3 days delivery meaning it's 3 months delivery time.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2026-03 (2 months ago at fetch),,Anonymous,delivery-expectation,delivery-mismatch,bargain-hunter,en,date relative
6,"Really bad service, I ordered things on black Friday. They lost my package. Although black Friday finished, they refused to give me different product in same price level and even they refused any another support.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2025-12 (5 months ago at fetch),,Miroslav,bargain-shopping,delivery-failure,bargain-hunter,en,date relative; Black Friday context strong bargain-hunter signal
7,"An absolute disgrace. Repeatedly sent visibly damaged trainers, and the so-called customer service agents are repugnant & barely literate.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2025-11 (6 months ago at fetch),,Rachid,quality-check,product-quality-failure,single-item-shopper,en,date relative
8,"I love ordering from Zalando. They have a huge variety of items from different brands, the shipment is most of the time fast and if you need assistance with anything, the customer service is very prompt to help.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2025-05 (1 year ago at fetch),,Fernanda,variety-and-speed,none,inspiration-browser,en,date relative; multi-brand variety = inspiration-browser signal
9,"I love Zalando, I reside in Spain. Very good quality products, fair prizes and they always deliver what you ordered and always on time.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2025-05 (1 year ago at fetch),,Anonymous,reliability,none,outfit-seeker,en,date relative
10,"I have made few purchases from them 2 weeks ago, everything was good until received the goods, 3 items were good but on was not the size I've ordered.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2025-05 (1 year ago at fetch),,Khaled H,sizing-and-fulfillment,wrong-size-received,single-item-shopper,en,date relative; ratio (3/4 correct) implies outfit-or-multi-item order
